date,       link,                  time, program,   solver,             puzzle, format
2025-07-05, yfUzNXTkHYg,       3m 40.87s, HSC,      ysinx,              3x3x3x3, single
2025-07-07, oe0YQgmoqtw,       2m 48.55s, HSC,      ysinx,              3x3x3x3, single
2025-07-09, fVy6d-OurTo,    1h 2m 55.67s, MC7D+MKB, jessica,          3x3x3x3x3, single
2025-07-06, KG-mfhcdOeU,      13m 36.31s, HSC,      messil,             3x3x3x3, single
2025-07-11, 68hRYI-Uwe0,      58m 21.23s, MC7D+MKB, jessica,          3x3x3x3x3, single
2025-07-13, OD6rtfRdVO0,       1m 39.17s, HSC,      josie,              3x3x3x3, single
2025-07-14, VEv16kKta_8,       6m 36.22s, HSC,      cali,               3x3x3x3, single
2025-07-18, WN3Z2hm2Zy0,      10m 15.40s, HSC,      messil,             3x3x3x3, single
2025-08-09, XOg_MXG62DU,       1m 36.91s, HSC,      josie,              3x3x3x3, single
2025-07-20, yQVakfqSlI4,       8m 51.46s, MT,       ysinx,        klein_quartic, single
2025-08-12, aAeQ1VTFoPE,       1m 34.59s, HSC,      josie,              3x3x3x3, single
2025-08-14, QClmUyzp1jk,       2m 48.69s, -,        grant,              phys_2x2x2x2, oh
2025-08-14, Z4JQuzVS-_w,       2m 24.14s, -,        grant,              phys_2x2x2x2, oh
2025-08-14, PZfff2QUxYw,      59m 01.99s, NM11C,    ysinx,              11_cell, single
2025-08-14, QmIGDZnc5G4,       2m 07.60s, HSC,      hana,               3x3x3x3, single
2025-08-15, wMHJJup4PjE,       1m 34.03s, HSC,      hactar,             3x3x3x3, single
2025-08-15, 79CJH0ZpbPc,       1m 42.70s, HSC,      hactar,             3x3x3x3, ao5
2025-08-15, bSKEt6oTAdg,      28m 39.93s, -,        cubedude,           phys_2x2x2x2, bld
2025-08-18, jMPBj2SMZBI,       2m 02.12s, -,        cubedude,           phys_2x2x2x2, oh
2025-08-19, yoltu1NDhkI,       3m 06.76s, MC3D,     grant,              3x3x3_1d, single
2025-08-19, 0nWAhdLP9io,       2m 54.99s, MC3D,     grant,              3x3x3_1d, single
2025-08-19, wwXdv80sB88,       2m 27.66s, MC3D,     grant,              3x3x3_1d, single
2025-08-20, uzJ5I7gO3wc,       2m 10.51s, MC3D,     grant,              3x3x3_1d, single
2025-08-20, BoMxB7H7w6Q,       1m 34.86s, MC3D,     grant,              3x3x3_1d, single
2025-08-19, 1t7hpRrB9u4,          38.33s, HSC,      josie,              2x2x2x2, single
2025-08-19, lF7Rd0eml5c,          33.09s, HSC,      josie,              2x2x2x2, single
2025-08-21, QTxmT5GGr08,          18.16s, HSC,      bilal,              2x2x2x2, ao5
2025-08-22, aL9OLrCR4oM,          32.22s, HSC,      josie,              2x2x2x2, single
